"skill_name","definition","youtube_link","resume_bullet_template"
"nodejs","A JavaScript runtime built on Chrome's V8 engine for building scalable server-side applications.","https://www.youtube.com/watch?v=fBNz5xF-Kx4","Implemented backend services in Node.js for [Project Name], improving throughput by [Metric]."
"express.js","A minimal and flexible Node.js framework for building web applications and APIs.","https://www.youtube.com/watch?v=SccSCuHhOw0","Built RESTful APIs for [Project Name] using Express.js, reducing endpoint latency by [Metric]."
"react","A JavaScript library for building component-based user interfaces with declarative rendering.","https://www.youtube.com/watch?v=x4rFhThSX04","Developed [Project Name] UI in React, increasing user engagement by [Metric]."
"angular","A TypeScript-based framework for building scalable web apps with a full suite of tooling.","https://www.youtube.com/watch?v=3qBXWUpoPHo","Led development of [Project Name] using Angular, improving app modularity and maintainability."
"vue","A progressive JavaScript framework for building approachable and versatile user interfaces.","https://www.youtube.com/watch?v=2OHbjep_WjQ","Created reactive UI components in Vue for [Project Name], improving load time by [Metric]."
"next.js","A React framework that enables server-side rendering and static site generation.","https://www.youtube.com/watch?v=DLX62G4lc44","Built SEO-optimized web pages with Next.js for [Project Name], increasing organic traffic by [Metric]."
"sql","A domain-specific language used to query and manipulate relational databases.","https://www.youtube.com/watch?v=OT1RErkfLNQ","Designed and optimized complex SQL queries in [Project Name], improving data retrieval efficiency by [Metric]."
"mysql","An open-source relational database management system known for reliability and ease of use.","https://www.youtube.com/watch?v=h0nxCDiD-zg","Configured and managed MySQL database for [Project Name], optimizing schema and boosting performance by [Metric]."
"postgresql","A powerful, open-source object-relational database system with advanced features and extensibility.","https://www.youtube.com/watch?v=7S_tz1z_5bA","Implemented and tuned PostgreSQL database in [Project Name], improving data integrity and query speed."
"mongodb","A popular NoSQL document database designed for flexibility and horizontal scaling.","https://www.youtube.com/watch?v=rCNdevAMtJU","Engineered MongoDB database for [Project Name], improving data handling and reducing latency by [Metric]."
"redis","An in-memory data structure store used as a database, cache, and message broker.","https://www.youtube.com/watch?v=Www6cTUymCY","Integrated Redis caching in [Project Name], reducing average response time by [Metric]."
"cassandra","A distributed NoSQL database designed for high availability and scalability across many servers.","https://www.youtube.com/watch?v=Www6cTUymCY","Deployed Cassandra database for [Project Name], achieving fault-tolerant distributed data storage and [Metric]."
"sqlite","A lightweight, file-based relational database engine used for embedded and local storage.","https://www.youtube.com/watch?v=OT1RErkfLNQ","Implemented SQLite datastore in [Project Name], enabling offline-capable features and reducing latency."
"nosql","A category of non-relational databases designed for unstructured data and flexible schema.","https://www.youtube.com/watch?v=Www6cTUymCY","Selected appropriate NoSQL database for [Project Name], increasing schema flexibility and scalability."
"aws","Amazon Web Services, a comprehensive cloud computing platform offering infrastructure and services.","https://www.youtube.com/watch?v=ulprqHHWlng","Architected and deployed [Project Name] on AWS, leveraging EC2/S3/Lambda to reduce costs by [Metric]."
"azure","Microsoft Azure, a cloud platform providing services for computing, analytics, storage, and networking.","https://www.youtube.com/watch?v=5IitaqjXgbg","Migrated [Project Name] to Azure, utilizing App Service and SQL Database to improve uptime by [Metric]."
"google cloud","Google Cloud Platform, a suite of cloud computing services for compute, storage, and ML.","https://www.youtube.com/watch?v=PT2_FebpdgU","Deployed [Project Name] backend on GCP, leveraging Cloud Run and Firestore to scale dynamically by [Metric]."
"gcp","Abbreviation for Google Cloud Platform.","https://www.youtube.com/watch?v=PT2_FebpdgU","Configured [Project Name] infrastructure on GCP, optimizing cost/performance using Pub/Sub and Compute Engine."
"docker","A containerization platform that packages applications and dependencies into portable containers.","https://www.youtube.com/watch?v=Gjnup-PuquQ","Containerized [Project Name] using Docker, improving deployment consistency and reducing environment issues by [X%]."
"kubernetes","An open-source orchestration system for automating deployment, scaling, and management of containerized apps.","https://www.youtube.com/watch?v=X48VuDVv0do","Deployed and managed containerized microservices on Kubernetes for [Project Name], increasing reliability and reducing downtime by [Metric]."
"terraform","An infrastructure-as-code tool enabling provisioning of cloud resources declaratively.","https://www.youtube.com/watch?v=SLauY6PpjW4","Automated infrastructure provisioning for [Project Name] using Terraform, reducing deployment time by [Metric]."
"ansible","An open-source automation tool for software provisioning, configuration management, and deployment.","https://www.youtube.com/watch?v=wgQ3rH2J4UQ","Automated server setup and configuration for [Project Name] using Ansible, reducing manual tasks by [Metric]."
"helm","A package manager for Kubernetes that simplifies deployment of complex applications.","https://www.youtube.com/watch?v=5yty9TgGpak","Packaged and deployed [Project Name] on Kubernetes using Helm charts, improving reproducibility and deploy speed."
"git","A distributed version control system for tracking changes in source code during software development.","https://www.youtube.com/watch?v=SWYqp7iY_Tc","Managed source code for [Project Name] with Git, ensuring version traceability and collaborative workflow."
"github","A cloud-based Git repository hosting service with collaboration and CI features.","https://www.youtube.com/watch?v=w3jLJU7DT5E","Collaborated on [Project Name] via GitHub, implementing Pull Requests and CI to improve code quality by [Metric]."
"gitlab","A web-based DevOps lifecycle tool providing Git hosting, CI/CD, and project management.","https://www.youtube.com/watch?v=6tQ3q7m5WgM","Set up GitLab pipelines for [Project Name], automating tests and deployments, reducing release time by [Metric]."
"ci/cd","A set of practices for automating code integration, testing, and deployment to accelerate delivery.","https://www.youtube.com/watch?v=OXP8YBPBdgw","Implemented CI/CD pipelines in [Project Name], reducing release time by [Metric]."
"jenkins","An open-source automation server used to build, test, and deploy software continuously.","https://www.youtube.com/watch?v=6YZvp2GwT0A","Configured Jenkins pipelines for [Project Name], automating build and deployment processes and reducing manual errors."
"data analysis","The process of inspecting, cleaning, and modeling data to extract insights and support decision-making.","https://www.youtube.com/watch?v=Uq3zT_ZqW2I","Performed data analysis on [Dataset] for [Project Name], identifying [Insight] and driving [Outcome]."
"pandas","A Python library for data manipulation and analysis, offering data structures like DataFrame.","https://www.youtube.com/watch?v=vmEHCJofslg","Utilized Pandas to clean and transform data for [Project Name], reducing processing time by [Metric]."
"numpy","A fundamental Python library for numerical computing with support for large multi-dimensional arrays.","https://www.youtube.com/watch?v=QUT1VHiLmmI","Applied NumPy for numerical computations in [Project Name], enhancing algorithm performance by [Metric]."
"scipy","A Python library used for scientific computing and technical computing, building on NumPy.","https://www.youtube.com/watch?v=O8mz6ky3oF0","Leveraged SciPy functions for [analysis/task] in [Project Name], improving accuracy by [Metric]."
"matplotlib","A plotting library for Python, enabling creation of static, interactive, and animated visualizations.","https://www.youtube.com/watch?v=UO98lJQ3QGI","Visualized data with Matplotlib in [Project Name], improving stakeholder understanding through clear charts."
"seaborn","A Python data visualization library built on Matplotlib, providing a high-level interface for attractive statistical graphics.","https://www.youtube.com/watch?v=GcXcSZ0gQps","Created statistical visualizations with Seaborn for [Project Name], improving trend detection by [Metric]."
"power bi","A Microsoft business analytics tool for interactive data visualization and BI dashboards.","https://www.youtube.com/watch?v=Uq3zT_ZqW2I","Built interactive dashboards in Power BI for [Project Name], improving data-driven decisions by [Metric]."
"tableau","A visual analytics platform that helps create interactive and shareable dashboards.","https://www.youtube.com/watch?v=X5Fl8_zjt0U","Designed insightful dashboards in Tableau for [Project Name], enabling data-driven business improvements."
"machine learning","A field of AI focused on algorithms that learn patterns and make predictions from data.","https://www.youtube.com/watch?v=7eh4d6sabA0","Developed a machine learning model for [Project Name] that predicted [Outcome] with [Metric] accuracy."
"deep learning","A subset of machine learning involving neural networks with multiple layers for complex tasks.","https://www.youtube.com/watch?v=tPYj3fFJGjk","Implemented deep learning model using [Framework] for [Project Name], improving [Metric] by [X%]."
"tensorflow","An open-source ML framework for building and training neural networks.","https://www.youtube.com/watch?v=tPYj3fFJGjk","Built and trained neural network models with TensorFlow for [Project Name], achieving [Metric] performance."
"pytorch","An open-source deep learning framework noted for its dynamic computation graphs and ease of use.","https://www.youtube.com/watch?v=V_xro1bcAuA","Developed deep learning pipelines in PyTorch for [Project Name], enhancing model training speed by [Metric]."
"keras","A high-level neural networks API in Python, capable of running on top of TensorFlow.","https://www.youtube.com/watch?v=QfNvhPx5Px8","Constructed and tuned deep learning models with Keras for [Project Name], achieving [Metric] validation accuracy."
"scikit-learn","A Python library for classic machine learning algorithms and model evaluation.","https://www.youtube.com/watch?v=0Lt9w-BxKFQ","Applied scikit‑learn algorithms in [Project Name] leading to [Metric] accuracy in classification/regression."
"nlp","A field of AI focused on enabling computers to interpret and generate human language.","https://www.youtube.com/watch?v=8rXD5-xhemo","Built an NLP pipeline in [Project Name] to [Task], achieving [Metric] performance."
"natural language processing","Techniques and methods for analyzing text and speech data to extract meaning and insights.","https://www.youtube.com/watch?v=8rXD5-xhemo","Implemented NLP models for [Project Name], improving [Metric] like sentiment accuracy or information extraction."
"spacy","A Python library for industrial-strength NLP tasks like tokenization and named-entity recognition.","https://www.youtube.com/watch?v=WnGPv6HnBPs","Utilized spaCy for [Project Name] to preprocess text and extract entities, improving data quality by [Metric]."
"nltk","A Python toolkit for symbolic and statistical natural language processing.","https://www.youtube.com/watch?v=X2vAabgKiuM","Used NLTK in [Project Name] to perform text preprocessing and analysis, enabling [Insight or feature]."
"hugging face","An ML company and community known for state-of-the-art NLP transformers and model hub.","https://www.youtube.com/watch?v=ORvK4oXqj5g","Integrated Hugging Face transformer models into [Project Name], achieving [Metric] performance improvements."
"transformers","A library by Hugging Face providing pre-trained transformers for NLP tasks.","https://www.youtube.com/watch?v=ORvK4oXqj5g","Implemented transformers for [Project Name]'s text classification task, improving accuracy by [Metric]."
"agile","A methodology for iterative software development that emphasizes collaboration, flexibility, and customer feedback.","https://www.youtube.com/watch?v=Z9QbYZh1YXY","Led Agile sprints for [Project Name], delivering incremental features and reducing delivery cycle time by [Metric]."
"scrum","An Agile framework that organizes work into sprints with defined roles and ceremonies.","https://www.youtube.com/watch?v=9TycLR0TqFA","Facilitated daily standups and sprint reviews as Scrum Master for [Project Name], improving team velocity by [Metric]."
"jira","A tool for issue and project tracking widely used in Agile software development.","https://www.youtube.com/watch?v=T8Oblc50Pzg","Managed [Project Name] tasks and backlog using Jira, improving project transparency and delivery efficiency."
"confluence","A collaboration platform for documentation and knowledge sharing within teams.","https://www.youtube.com/watch?v=_B5l4a4Rz24","Created and maintained project documentation in Confluence for [Project Name], enhancing team knowledge sharing."
"project management","The practice of initiating, planning, executing, and closing projects to meet specific goals.","https://www.youtube.com/watch?v=G6V9j2XTYlY","Managed end‑to‑end lifecycle of [Project Name], delivering on time and under budget while meeting [Metric]."
"rest api","An architectural style for designing networked applications using HTTP and standard operations.","https://www.youtube.com/watch?v=Q-BpqyOT3a8","Developed REST APIs for [Project Name], enabling [Feature] and supporting [Metric]."
"graphql","A query language for APIs that enables clients to request exactly the data they need.","https://www.youtube.com/watch?v=ed8SzALpx1Q","Built GraphQL APIs for [Project Name], improving data fetching efficiency and reducing payload size."
"soap","A protocol for exchanging structured information in web services using XML over HTTP.","https://www.youtube.com/watch?v=VDa30knXNiA","Implemented SOAP web services for [Project Name], ensuring standardized data exchange and compliance."
"microservices","An architectural style that structures applications as a collection of loosely coupled services.","https://www.youtube.com/watch?v=CZ3wIuvmHeM","Designed microservices for [Project Name], improving scalability and reducing deployment time by [Metric]."
"linux","An open-source UNIX-like operating system kernel widely used on servers and embedded systems.","https://www.youtube.com/watch?v=V7dToiLKZ9M","Managed Linux servers for [Project Name], optimizing performance and reducing downtime by [Metric]."
"bash","A Unix shell and command language for scripting and automating tasks.","https://www.youtube.com/watch?v=oxuRxtrO2Ag","Automated data pipelines with Bash scripts in [Project Name], saving [Metric] hours weekly."
"xml","A markup language for encoding documents in a format that is both human-readable and machine-readable.","https://www.youtube.com/watch?v=VBjZPCK5sEU","Parsed and generated XML data in [Project Name] to integrate with legacy systems."
"sap","An enterprise software suite that handles business operations and customer relations.","https://www.youtube.com/watch?v=JGnOAizhUSs","Configured SAP modules for [Project Name], improving [Business Process] efficiency by [Metric]."
